SL. No.,CS1,CS1,CS1,DS,DS,DS,DM,DM,DM,PP,PP,PP,JP,JP,JP,P&S,P&S,P&S
,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3,Mid-1,Mid-2,Mid3
1,16.5,0.0,0.0,19.0,0.0,0.0,17.0,19.0,0.0,16.0,15.0,0.0,16.0,19.0,0.0,16.0,0.0,0.0
2,9.5,0.0,0.0,11.0,0.0,0.0,13.0,13.0,0.0,15.0,12.0,0.0,11.0,17.0,0.0,15.0,14.0,0.0
3,9.0,0.0,0.0,11.0,0.0,0.0,13.0,12.0,0.0,14.0,6.0,0.0,5.0,13.0,13.0,12.0,17.0,0.0
4,17.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,17.0,18.0,0.0,18.0,20.0,0.0,18.0,20.0,0.0
5,10.0,0.0,0.0,15.0,0.0,0.0,17.0,12.0,0.0,11.0,17.0,0.0,11.0,11.0,16.0,15.0,17.0,0.0
6,2.5,0.0,0.0,20.0,0.0,0.0,13.0,13.0,0.0,9.0,6.0,0.0,6.0,7.0,13.0,9.0,12.0,0.0
7,11.5,0.0,0.0,15.0,0.0,0.0,13.0,15.0,0.0,10.0,12.0,0.0,6.0,11.0,12.0,8.0,15.0,0.0
8,16.5,0.0,0.0,18.0,0.0,0.0,14.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,15.0,16.0,0.0,0.0
9,11.0,0.0,0.0,18.0,0.0,0.0,17.0,17.0,0.0,14.0,15.0,0.0,13.0,9.0,14.0,15.0,15.0,0.0
10,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,12.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
11,7.0,0.0,0.0,12.0,0.0,0.0,19.0,18.0,0.0,17.0,14.0,0.0,14.0,16.0,0.0,18.0,10.0,0.0
12,13.5,0.0,0.0,14.0,0.0,0.0,11.0,17.0,0.0,19.0,17.0,0.0,1.0,17.0,0.0,15.0,13.0,0.0
